,Date,Day,Country-Retailer,Stage,Brand,Name,Nett Weight,Weight (g),Price (SGD),Price per 100g,In Stock
1,2022/06/20,Mon,SG-ShengSiong,Stage 1,Abbott Grow,Abbott Grow Baby Stage 1,900g,900,18.30,2.03,Yes
2,2022/06/20,Mon,SG-ShengSiong,Stage 1,Abbott Similac,Abbott Similac 2FL Infant Formula - Stage 1,850g,850,61.70,7.26,Yes
3,2022/06/20,Mon,SG-ShengSiong,Stage 1,Abbott Similac,Abbott Similac 2FL Infant Formula - Stage 1,1.8kg,1800,122.80,6.82,Yes
4,2022/06/20,Mon,SG-ShengSiong,Stage 1,Abbott Similac,Abbott Similac Total Comfort Infant Forumla - Stage 1,820g,820,66.90,8.16,Yes
5,2022/06/20,Mon,SG-ShengSiong,Stage 1,Dumex,Dumex Dulac Infant Milk Formula - Stage 1,800g,800,14.80,1.85,Yes
6,2022/06/20,Mon,SG-ShengSiong,Stage 1,Dumex,Dumex Mamil Gold Infant Milk Formula - Stage 1,850g,850,56.00,6.59,Yes
7,2022/06/20,Mon,SG-ShengSiong,Stage 1,Dumex,Dumex Mamil Gold Soy Infant Formula - Stage 1,900g,900,53.00,5.89,No
8,2022/06/20,Mon,SG-ShengSiong,Stage 1,Enfamil,Enfamil A+ A.R Special Infant Formula - Stage 1,900g,900,63.20,7.02,Yes
9,2022/06/20,Mon,SG-ShengSiong,Stage 1,Enfamil,Enfamil A+ Gentlease Super Premium Infant Formula - Stage 1,900g,900,76.85,8.54,Yes
10,2022/06/20,Mon,SG-ShengSiong,Stage 1,Frisolac,Frisolac 2FL Infant Formula - Stage 1,1.8kg,1800,115.00,6.39,Yes
11,2022/06/20,Mon,SG-ShengSiong,Stage 1,Frisolac,Frisolac 2FL Infant Milk Formula - Stage 1,900g,900,62.00,6.89,Yes
12,2022/06/20,Mon,SG-ShengSiong,Stage 1,Karihome,Karihome Goat Milk Infant Formula - Stage 1,900g,900,57.00,6.33,Yes
13,2022/06/20,Mon,SG-ShengSiong,Stage 1,Nature One Dairy,Nature One Dairy Newborn Infant Formula - Stage 1,900g,900,27.50,3.06,Yes
14,2022/06/20,Mon,SG-ShengSiong,Stage 1,Nature One Dairy,Nature One Dairy Newborn Premium Infant Formula - Stage 1,900g,900,29.50,3.28,Yes
15,2022/06/20,Mon,SG-ShengSiong,Stage 1,Nestle Lactogen,Nestle Lactogen Infant Formula - Stage 1,1.8kg,1800,37.60,2.09,Yes
16,2022/06/20,Mon,SG-ShengSiong,Stage 1,Nestle Nan,Nestle Nan Optipro Starter Infant Formula - Stage 1,850g,850,59.60,7.01,Yes
17,2022/06/20,Mon,SG-ShengSiong,Stage 1,Wyeth S-26,Wyeth S-26 Gold Pro Infant Milk Formula - Stage 1,900g,900,60.50,6.72,No
18,2022/06/20,Mon,SG-ShengSiong,Stage 1,Wyeth S-26,Wyeth S-26 Nursoy Gold Infant Milk Formula - Stage 1,900g,900,48.00,5.33,Yes
19,2022/06/20,Mon,SG-ShengSiong,Stage 3,Abbott Grow,Abbott Grow Toddler Milk Powder Stage 3,900g,900,24.95,2.77,Yes
20,2022/06/20,Mon,SG-ShengSiong,Stage 3,Abbott Grow,Abbott Grow Toddler Milk Powder Stage 3 (Buy 2 for $47.60),2x900g,1800,47.60,2.64,Yes
21,2022/06/20,Mon,SG-ShengSiong,Stage 3,Abbott Isomil,Abbott Isomil Soy Growing-Up Milk Formula - Stage 3,850g,850,55.10,6.48,Yes
22,2022/06/20,Mon,SG-ShengSiong,Stage 3,Abbott Similac,Abbott Similac Gain 2'FL Growing-Up Milk Formula - Stage 3,1.8kg,1800,92.60,5.14,Yes
23,2022/06/20,Mon,SG-ShengSiong,Stage 3,Abbott Similac,Abbott Similac Gain Growing-Up Milk Formula - Stage 3,850g,850,46.35,5.45,Yes
24,2022/06/20,Mon,SG-ShengSiong,Stage 3,Abbott Similac,Abbott Similac Total Comfort Growing-Up Milk Formula - Stage 3,820g,820,53.90,6.57,Yes
25,2022/06/20,Mon,SG-ShengSiong,Stage 3,Bellamy's,Bellamy's Organic Toddler Milk Drink - Stage 3,900g,900,43.90,4.88,Yes
26,2022/06/20,Mon,SG-ShengSiong,Stage 3,Dumex,Dumex Dugro Gowing Up Milk Formula - Stage 3,1.6kg,1600,43.00,2.69,Yes
27,2022/06/20,Mon,SG-ShengSiong,Stage 3,Dumex,Dumex Dugro Growing Up Milk Formula - Stage 3,700g,700,19.90,2.84,Yes
28,2022/06/20,Mon,SG-ShengSiong,Stage 3,Dumex,Dumex Mamil Gold Growing Up Kid Milk Formula - Stage 3,1.6kg,1600,76.00,4.75,Yes
29,2022/06/20,Mon,SG-ShengSiong,Stage 3,Dumex,Dumex Mamil Gold Growing Up Kid Milk Formula - Stage 3,850g,850,42.80,5.04,Yes
30,2022/06/20,Mon,SG-ShengSiong,Stage 3,Dumex,Dumex Mamil Gold Growing Up Milk Formula - Stage 3 ((Bundle),(2x1.6kg)+850g,4050,147.00,3.63,Yes
31,2022/06/20,Mon,SG-ShengSiong,Stage 3,Enfagrow,Enfagrow A+ Gentlease Super Premium Growing Up Milk - Stage 3,900g,900,61.25,6.81,Yes
32,2022/06/20,Mon,SG-ShengSiong,Stage 3,Enfagrow,Enfagrow Pro A+ Growing Up Milk Formula - Stage 3,1.8kg,1800,91.00,5.06,Yes
33,2022/06/20,Mon,SG-ShengSiong,Stage 3,Friso,Friso Gold 2FL Growing Up Formula - Stage 3,900g,900,46.70,5.19,Yes
34,2022/06/20,Mon,SG-ShengSiong,Stage 3,Friso,Friso Gold 2FL Growing-Up Formula - Stage 3,1.8kg,1800,87.70,4.87,Yes
35,2022/06/20,Mon,SG-ShengSiong,Stage 3,Karihome,Karihome Goat Milk Growing-Up Formula - Stage 3,900g,900,51.80,5.76,Yes
36,2022/06/20,Mon,SG-ShengSiong,Stage 3,Nature One Dairy,Nature One Dairy Premium Toddler Milk Formula - Stage 3,900g,900,27.50,3.06,Yes
37,2022/06/20,Mon,SG-ShengSiong,Stage 3,Nature One Dairy,Nature One Dairy Toddler Milk Formula - Stage 3,900g,900,20.50,2.28,Yes
38,2022/06/20,Mon,SG-ShengSiong,Stage 3,Nestle Nan,Nestle Nan Optipro Toddler Milk Formula - Stage 3,850g,850,42.10,4.95,Yes
39,2022/06/20,Mon,SG-ShengSiong,Stage 3,Wyeth S-26,Wyeth S-26 Gold Progress Formula - Stage 3 (Twin Pack),2x1.6kg,3200,153.80,4.81,Yes
40,2022/06/20,Mon,SG-ShengSiong,Stage 3,Wyeth S-26,Wyeth S-26 Gold Progress Growing-Up Milk Formula - Stage 3,1.6kg,1600,76.90,4.81,Yes
41,2022/06/20,Mon,SG-ShengSiong,Stage 3,Wyeth S-26,Wyeth S-26 Gold Progress Growing-Up Milk Formula - Stage 3,900g,900,46.90,5.21,Yes
42,2022/06/20,Mon,SG-ShengSiong,Stage 4,Abbott Grow,Abbott Grow PreSchool Milk Powder - Stage 4,900g,900,35.30,3.92,No
43,2022/06/20,Mon,SG-ShengSiong,Stage 4,Abbott Grow,Abbott Grow Preschool Milk Powder - Stage 4,1.8kg,1800,65.50,3.64,Yes
44,2022/06/20,Mon,SG-ShengSiong,Stage 4,Abbott Similac,Abbott Similac Gain Kid 2'FL Pre-School Milk Formula - Stage 4,1.8kg,1800,81.90,4.55,Yes
45,2022/06/20,Mon,SG-ShengSiong,Stage 4,Abbott Similac,Abbott Similac Gain Kid 2'FL Pre-School Milk Formula - Stage 4,850g,850,41.10,4.84,Yes
46,2022/06/20,Mon,SG-ShengSiong,Stage 4,Dumex,Dumex Dugro Growing Up Milk Formula - Stage 4,1.6kg,1600,43.00,2.69,Yes
47,2022/06/20,Mon,SG-ShengSiong,Stage 4,Dumex,Dumex Dugro Growing Up Milk Formula - Stage 4,700g,700,19.90,2.84,Yes
48,2022/06/20,Mon,SG-ShengSiong,Stage 4,Dumex,Dumex Mamil Gold Growing Up Formula - Stage 4 (Bundle),(2x1.6kg)+850g,4050,122.60,3.03,Yes
49,2022/06/20,Mon,SG-ShengSiong,Stage 4,Dumex,Dumex Mamil Gold Growing Up Kid Milk Formula - Stage 4,1.6kg,1600,61.25,3.83,Yes
50,2022/06/20,Mon,SG-ShengSiong,Stage 4,Dumex,Dumex Mamil Gold Growing Up Kid Milk Formula - Stage 4,850g,850,35.80,4.21,Yes
51,2022/06/20,Mon,SG-ShengSiong,Stage 4,Enfagrow,Enfagrow Pro A+ Growing Up Milk Formula - Stage 4,900g,900,47.30,5.26,Yes
52,2022/06/20,Mon,SG-ShengSiong,Stage 4,Enfagrow,Enfagrow Pro A+ Growing Up Milk Formula - Stage 4,1.8kg,1800,81.15,4.51,Yes
53,2022/06/20,Mon,SG-ShengSiong,Stage 4,Fernleaf,Fernleaf Family Milk Powder,1.1kg,1100,13.45,1.22,Yes
54,2022/06/20,Mon,SG-ShengSiong,Stage 4,Fernleaf,Fernleaf Family Milk Powder,1.8kg,1800,23.95,1.33,Yes
55,2022/06/20,Mon,SG-ShengSiong,Stage 4,Fernleaf,Fernleaf Family Milk Powder,550g,550,7.45,1.35,Yes
56,2022/06/20,Mon,SG-ShengSiong,Stage 4,Friso,Friso Gold 2FL Growing-up Formula - Stage 4,900g,900,41.00,4.56,Yes
57,2022/06/20,Mon,SG-ShengSiong,Stage 4,Friso,Friso Gold 2FL Growing-up Formula - Stage 4,1.8kg,1800,78.00,4.33,Yes
58,2022/06/20,Mon,SG-ShengSiong,Stage 4,Friso,Friso Gold 2FL Growing-up Formula - Stage 4 (Buy 2 for $63.20),2x900g,1800,63.20,3.51,Yes
59,2022/06/20,Mon,SG-ShengSiong,Stage 4,Karihome,Karihome Goat Milk Pre-School Formula - Stage 4,900g,900,51.80,5.76,Yes
60,2022/06/20,Mon,SG-ShengSiong,Stage 4,Lactogrow,Lactogrow Lactogen 3 Growing Up Milk Formula,1.8kg,1800,37.60,2.09,Yes
61,2022/06/20,Mon,SG-ShengSiong,Stage 4,Lactogrow,Lactogrow Lactogen 3 Growing Up Milk Formula (Buy 2 for $62.95),2x1.8kg,3600,62.95,1.75,Yes
62,2022/06/20,Mon,SG-ShengSiong,Stage 4,Nature One Dairy,Nature One Dairy Premium Junior Milk Formula - Stage 4,900g,900,26.50,2.94,Yes
63,2022/06/20,Mon,SG-ShengSiong,Stage 4,Nestle Nan,Nestle Nan Optipro Toddler Milk Formula - Stage 4,850g,850,41.00,4.82,Yes
64,2022/06/20,Mon,SG-ShengSiong,Stage 4,Nestle Nan,Nestle Nan Optipro Toddler Milk Formula - Stage 4,1.6kg,1600,72.70,4.54,Yes
65,2022/06/20,Mon,SG-ShengSiong,Stage 4,Pediasure,Pediasure 10+ Classic Vanilla,850g,850,47.70,5.61,Yes
66,2022/06/20,Mon,SG-ShengSiong,Stage 4,Pediasure,Pediasure TripleSure Classic Vanilla Milk Powder,850g,850,47.70,5.61,Yes
67,2022/06/20,Mon,SG-ShengSiong,Stage 4,Pediasure,Pediasure TripleSure Classic Vanilla Milk Powder,1.6kg,1600,84.70,5.29,Yes
68,2022/06/20,Mon,SG-ShengSiong,Stage 4,Pediasure,Pediasure TripleSure Gold Original (Sucrose Free),850g,850,47.70,5.61,Yes
69,2022/06/20,Mon,SG-ShengSiong,Stage 4,Wyeth S-26,Wyeth S-26 Gold Promise Growing-Up Milk Formula - Stage 4,1.6kg,1600,65.00,4.06,Yes
70,2022/06/20,Mon,SG-ShengSiong,Stage 4,Wyeth S-26,Wyeth S-26 Gold Promise Growing-Up Milk Formula - Stage 4,900g,900,39.50,4.39,Yes
71,2022/06/20,Mon,SG-ShengSiong,Stage 4,Wyeth S-26,Wyeth S-26 Gold Promise Milk Formula - Stage 4 (Twin Pack),2x1.6kg,3200,130.00,4.06,Yes
72,2022/06/20,Mon,SG-ShengSiong,Stage 5,Abbott Grow,Abbott Grow School Milk Powder - Stage 5,1.8kg,1800,61.20,3.40,Yes
73,2022/06/20,Mon,SG-ShengSiong,Stage 5,Dumex,Dumex Dugro Growing Up Milk Formula - Stage 5,700g,700,19.90,2.84,Yes
74,2022/06/20,Mon,SG-ShengSiong,Stage 5,Enfagrow,Enfagrow Pro A+ Growing Up Milk Formula - Stage 5,1.8kg,1800,75.65,4.20,Yes
75,2022/06/20,Mon,SG-ShengSiong,Stage 5,Enfagrow,Enfagrow Pro A+ Growing Up Milk Formula - Stage 5,900g,900,37.95,4.22,Yes
